g,tau,lle_flow_mean,lle_flow_std
0.1,0.1,-9.070074825599999,0.09228846386222271
0.3,0.1,-7.170717761431857,0.26162798024958006
0.5,0.1,-5.2695578603252615,0.43258081776807844
0.7,0.1,-3.367732057021545,0.6030549720193586
0.8,0.1,-2.417243265814342,0.6883391048997216
0.9,0.1,-1.4637433323606182,0.772199531781946
0.95,0.1,-1.2149066844417693,0.5054512532276632
1.0,0.1,-1.0162258980674639,0.5527423515137141
1.05,0.1,-1.0424751122471902,0.7904872595428916
1.1,0.1,-0.8806217210421744,0.911421386967347
1.2,0.1,-0.922770966027997,1.0067850372928833
1.5,0.1,-0.847550934007596,0.9764124566556466
2.0,0.1,-0.6536650604526892,1.3516554904951121
3.0,0.1,-0.0064916488575079674,0.030725672464595725
0.1,0.5,-1.8322197875458026,0.02264401422021143
0.3,0.5,-1.457107199921279,0.060791012979332905
0.5,0.5,-1.0746878042186203,0.09247256741799535
0.7,0.5,-0.6944722670500292,0.12632912926739606
0.8,0.5,-0.5051417087360988,0.14381849432229787
0.9,0.5,-0.3142399750821499,0.1608394923429704
0.95,0.5,-0.2410459298102187,0.13783085001843298
1.0,0.5,-0.21753732141927468,0.11343228207996302
1.05,0.5,-0.19270982121906113,0.1866051324858187
1.1,0.5,-0.17475152179533332,0.18470557271808125
1.2,0.5,-0.19733302219487647,0.20822788399407918
1.5,0.5,-0.16350152615931932,0.19349986103356703
2.0,0.5,-0.1251559776183493,0.2714378491814475
3.0,0.5,0.04155089013141268,0.059383445808872865
0.1,1.0,-0.9247915911603156,0.010685078964362877
0.3,1.0,-0.7373464274422666,0.03305300498651334
0.5,1.0,-0.5517746810218762,0.05254291344895477
0.7,1.0,-0.36197112345790206,0.0682507463259535
0.8,1.0,-0.2651926015391282,0.07611809055929647
0.9,1.0,-0.16987632714058876,0.08489312466472095
0.95,1.0,-0.12323305011868924,0.08786738152091648
1.0,1.0,-0.10001515903627023,0.06217341078354962
1.05,1.0,-0.08853575015559431,0.07589966873147301
1.1,1.0,-0.07473757720967837,0.10170057245170257
1.2,1.0,-0.07225433598334204,0.10507218234131659
1.5,1.0,-0.08940035883639996,0.07847671459404341
2.0,1.0,-0.06507135895833048,0.14076126523576973
3.0,1.0,0.04815804998239181,0.029018088224242178
0.1,2.0,-0.4677093115181644,0.0056866111887687336
0.3,2.0,-0.3797910067598681,0.017519117030425593
0.5,2.0,-0.2840446335342152,0.026770598046804258
0.7,2.0,-0.191027750843295,0.039869290270206414
0.8,2.0,-0.14384764799101415,0.04406666868737635
0.9,2.0,-0.09756418062083938,0.0480373710851964
0.95,2.0,-0.07483815258735961,0.05024098691885919
1.0,2.0,-0.05274929622073003,0.0512105808571053
1.05,2.0,-0.03735854284664011,0.043948971766419105
1.1,2.0,-0.028971717442182177,0.04113948353661976
1.2,2.0,-0.012597268650872013,0.053775177220052706
1.5,2.0,-0.04787126869413442,0.04957996917256256
2.0,2.0,-0.0177962615811915,0.06924829355133996
3.0,2.0,0.018573922186140564,0.014793632076090062
0.1,5.0,-0.19168791073401673,0.002956742670521771
0.3,5.0,-0.15918230891963567,0.006371589236799465
0.5,5.0,-0.1247916332162227,0.010685081051552707
0.7,5.0,-0.0889991814175515,0.016180434977334585
0.8,5.0,-0.0704924108727852,0.018809731633755586
0.9,5.0,-0.05156470067891643,0.021028224514369833
0.95,5.0,-0.041933676899176625,0.02189112831135205
1.0,5.0,-0.03223862265785894,0.022625163622400073
1.05,5.0,-0.022553086212231777,0.02328051932014474
1.1,5.0,-0.013006053284653662,0.023832926677839046
1.2,5.0,0.004131548772392534,0.02339194681957777
1.5,5.0,0.029675153038192077,0.03059113635245722
2.0,5.0,0.02092129121811545,0.04305669964952778
3.0,5.0,0.0005017147921637683,0.03080654070110171
0.1,10.0,-0.09749122083842343,0.0011992657611796175
0.3,10.0,-0.0842818819564953,0.004230791605917793
0.5,10.0,-0.06770935780865295,0.0056866199151386805
0.7,10.0,-0.05063316821526907,0.007192238759624863
0.8,10.0,-0.04206751957423859,0.008193668121041721
0.9,10.0,-0.03346496786170699,0.009372987567729979
0.95,10.0,-0.029140648116772788,0.010015823951778333
1.0,10.0,-0.024795811770017242,0.010682946887208116
1.05,10.0,-0.020427175291887825,0.011365136081248875
1.1,10.0,-0.016032716549178407,0.012053493078139313
1.2,10.0,-0.007170644262736753,0.013415644425566817
1.5,10.0,0.018450131601532936,0.016032519262307154
2.0,10.0,0.03813275509527892,0.01412894312141786
3.0,10.0,0.019509706544803003,0.025261668920439545
