g,seed,g_eff,rho_DW,mean_d2
0.1,0,0.06973817446154995,0.07078820295334522,0.48662239497447096
0.1,1,0.07022089925381951,0.07187442351407557,0.4875645319443359
0.3,0,0.20831002724419842,0.2104907977996034,0.48255362941201924
0.3,1,0.21013232686399283,0.21164908618792783,0.4850805658442362
0.5,0,0.34650350427757975,0.35013538632252855,0.4808107785067191
0.5,1,0.3497938733544764,0.3465022730475005,0.4838591971723944
0.7,0,0.48483922326020196,0.4952732985472853,0.4804349660954703
0.7,1,0.48882634944301556,0.4901859956022366,0.48205524165171953
0.9,0,0.6225284937577613,0.6465173180399906,0.47932991704125316
0.9,1,0.6249902068338069,0.6362796635391188,0.4766300952188456
1.0,0,0.6905015253412384,0.722090950524658,0.4777903898827347
1.0,1,0.6909811840206462,0.7065552964640811,0.4718822999587182
1.1,0,0.7574852523349187,0.7949929051146768,0.47533412105430556
1.1,1,0.7551546381363669,0.7743371291263745,0.4657997853636925
1.3,0,0.8874266105672233,0.9306423521573868,0.4674427074560129
1.3,1,0.8777297983204422,0.9028050645347616,0.4507397537980634
1.5,0,1.0107207893008823,1.0474900061380603,0.4558063941990004
1.5,1,0.9931704670482936,1.0233946451656055,0.43382546124331667
2.0,0,1.1731865881898818,1.2239511522762643,0.3451984720914897
2.0,1,1.2443056882814088,1.3085915268234405,0.3839373584716912
2.5,0,1.2817728602033172,1.39559824260633,0.2643120232312713
2.5,1,1.276327027681271,1.3777655900399823,0.2619742282511936
3.0,0,1.4255166004851225,1.4929530933789275,0.2276151207348607
3.0,1,1.43750919813308,1.5917115373012507,0.23004444655120926
