g,seed,condition,r2
0.3,0,frozen,0.9999999988742099
0.3,0,oja,0.6224467108406154
0.3,1,frozen,0.9999999935803754
0.3,1,oja,0.6350263016465638
0.3,2,frozen,0.9999999997551219
0.3,2,oja,0.6381108749104232
0.5,0,frozen,0.9999999959017176
0.5,0,oja,0.7150847991582935
0.5,1,frozen,0.9999999961679615
0.5,1,oja,0.6704306965666252
0.5,2,frozen,0.9999999993844572
0.5,2,oja,0.7228917865981099
0.7,0,frozen,0.9999999889058396
0.7,0,oja,0.7295813914507663
0.7,1,frozen,0.9999999985625104
0.7,1,oja,0.7620770197637552
0.7,2,frozen,0.9999999992614773
0.7,2,oja,0.703999011312129
0.9,0,frozen,0.9999999769729255
0.9,0,oja,0.7779374633110534
0.9,1,frozen,0.9999999932126129
0.9,1,oja,0.8024631274394574
0.9,2,frozen,0.9999999979171286
0.9,2,oja,0.7977543764444787
1.0,0,frozen,0.9999999722107747
1.0,0,oja,0.7191558981378778
1.0,1,frozen,0.9999999918972958
1.0,1,oja,0.7786905662214038
1.0,2,frozen,0.999999993321652
1.0,2,oja,0.9987670481342991
1.1,0,frozen,0.9999999711486323
1.1,0,oja,0.7402815879177302
1.1,1,frozen,0.9999999932729571
1.1,1,oja,0.7608529852265562
1.1,2,frozen,0.9999999849658804
1.1,2,oja,0.8048593455554247
1.3,0,frozen,0.9999999796058334
1.3,0,oja,0.6791249597597189
1.3,1,frozen,0.9999999963676232
1.3,1,oja,0.7048618926477839
1.3,2,frozen,0.9999999891095417
1.3,2,oja,0.7642163557236646
1.5,0,frozen,0.9999999833776501
1.5,0,oja,0.6602541336569192
1.5,1,frozen,0.9999999750485559
1.5,1,oja,0.5317458559857217
1.5,2,frozen,0.9999999898028185
1.5,2,oja,0.7397642493784162
2.0,0,frozen,0.9999959916582812
2.0,0,oja,0.3047361488226874
2.0,1,frozen,0.999983198638229
2.0,1,oja,0.353305271762538
2.0,2,frozen,0.9999999515285141
2.0,2,oja,0.41455559869952263
2.5,0,frozen,0.9999769695419412
2.5,0,oja,0.21129745927148735
2.5,1,frozen,0.999915094806285
2.5,1,oja,0.2298627186489628
2.5,2,frozen,0.9999976212296003
2.5,2,oja,0.3415243972823786
3.0,0,frozen,0.9984516364567796
3.0,0,oja,0.2128834238347046
3.0,1,frozen,0.9999490096997118
3.0,1,oja,0.21917063255244174
3.0,2,frozen,0.9998644381150036
3.0,2,oja,0.33392430279645
