g,seed,t,rho,rank,PR,frob,sigma_max
0.3,0,0,0.2957897902982834,49,35.787667464092664,2.12108641364672,0.6003880386800826
0.3,0,10,0.5546910672414662,50,34.73753819154541,2.166492631036107,0.6942227900667193
0.3,0,30,1.8700093775642719,50,22.43680902152889,2.9535539573224465,1.9047700651771504
0.3,0,80,14.717292122112111,50,2.5310586972700984,14.849599748048954,14.719299448380594
0.3,0,200,37.22580503616418,50,1.132558403996871,37.22960176462317,37.22586087411455
0.3,0,400,44.54308732991085,44,1.0119484114931634,44.543126301080456,44.54308790142658
1.0,0,0,0.9859659676609493,50,35.78766746409265,7.070288045489066,2.0012934622669425
1.0,0,10,1.043017790850116,50,35.71146173226194,6.9420827967205,1.9852957987521087
1.0,0,30,1.874059003133212,50,34.38238741180179,6.878266819690051,2.2620735967804775
1.0,0,80,12.824740746240384,50,8.607681181640801,13.746599366847146,12.858027677913622
1.0,0,200,36.701925170229536,50,1.4392538328310958,36.72590792060763,36.70275127155491
1.0,0,400,44.484932372691546,48,1.0369612142973943,44.4851752800441,44.48494073809121
2.0,0,0,1.9719319353218985,50,35.78766746409265,14.140576090978133,4.002586924533885
2.0,0,10,2.2471926513736986,50,35.74662659960696,13.751730227277072,3.9722883018867097
2.0,0,30,7.5073289883491485,50,29.85112937469725,13.819289845424754,7.737475933351837
2.0,0,80,23.312957070693752,50,6.643729335014329,24.259737274010448,23.337901649614537
2.0,0,200,39.530873061576536,50,1.596619483335879,39.57151970952163,39.531930658269836
2.0,0,400,44.798380434634325,49,1.0524118106205675,44.79882056047171,44.79839189568712
