drive,g,seed,t,rank_C,rho,rank,PR,frob
sin,0.3,0,0.0,50,0.2957897902982834,49,35.787667464092664,2.12108641364672
sin,0.3,0,1.0,2,0.29556107474746857,49,35.786575550977986,2.11769743512007
sin,0.3,0,2.0,3,0.3222777600788048,49,35.752789820362565,2.1168344156482726
sin,0.3,0,3.0,4,0.3598916265893999,50,35.72878011477335,2.1212105866903053
sin,0.3,0,4.0,5,0.36402807000326376,50,35.74900290462246,2.1208320291392435
sin,0.3,0,5.0,5,0.39441708204121384,50,35.69325578124385,2.121808568694425
sin,0.3,0,6.0,5,0.4700280496432715,50,35.504631966752335,2.1326858717579498
sin,0.3,0,7.0,5,0.5004741736847387,50,35.39679861079526,2.1405796648031252
sin,0.3,0,8.0,5,0.513015860637168,50,35.31695805469798,2.1451980340336654
sin,0.3,0,9.0,5,0.6038676832508647,50,34.96944411603868,2.162606248654323
sin,0.3,0,10.0,5,0.6662205526093004,50,34.626066867595014,2.1816537508809204
sin,0.3,0,11.0,5,0.6706845973078681,50,34.475774984389076,2.191505470668096
sin,0.3,0,12.0,5,0.7479940940730687,50,34.034265004611186,2.2132110502842663
sin,0.3,0,13.0,4,0.8386468660012854,50,33.419426372856506,2.2442685653638463
sin,0.3,0,14.0,4,0.8536970542391126,50,33.11316318083438,2.26267631267189
sin,0.3,0,15.0,4,0.9026050980391177,50,32.66063748175672,2.2863276317855696
sin,0.3,0,16.0,4,1.0117267087759982,50,31.842409135857558,2.3276655224505554
sin,0.3,0,17.0,4,1.051776605941526,50,31.303887806981926,2.3586399944608956
sin,0.3,0,18.0,4,1.0721404437982147,50,30.88122802514113,2.383478983120855
sin,0.3,0,19.0,4,1.182304721493494,50,30.005435640438005,2.430490383721954
sin,0.3,0,20.0,4,1.2539621698102184,50,29.230180742380462,2.4762031714281005
sin,0.3,0,21.0,4,1.260701613663425,50,28.798463427053516,2.505000817235717
sin,0.3,0,22.0,4,1.3504393083254655,50,28.01759669090339,2.5516506484968895
sin,0.3,0,23.0,4,1.4500091162928723,50,27.097102314583072,2.610037273406337
sin,0.3,0,24.0,4,1.4660682915868057,49,26.572547201710982,2.6485797873786616
sin,0.3,0,25.0,4,1.5194612950941266,49,25.968023737353295,2.690537399928887
sin,0.3,0,26.0,4,1.6331042676544945,49,25.050869196332084,2.755025752858814
sin,0.3,0,27.0,4,1.6764043697253417,49,24.393918858213173,2.807730532357789
sin,0.3,0,28.0,4,1.694938374251589,49,23.931881556293778,2.8463138392893934
sin,0.3,0,29.0,4,1.8011123975735925,49,23.155941116627154,2.9080538109492937
sin,0.3,0,30.0,4,1.874658858685971,49,22.42209949070084,2.9729776000691666
sin,0.3,0,31.0,4,1.8802806644862384,49,21.988542922011813,3.0159465263886
sin,0.3,0,32.0,5,1.9558884992818508,49,21.420691956468925,3.0681573745403914
sin,0.3,0,33.0,4,2.04875741649924,49,20.720931195869735,3.13692188457364
sin,0.3,0,34.0,5,2.067951809331306,49,20.234777359103425,3.1914038316845015
sin,0.3,0,35.0,5,2.1021231689328683,49,19.83552081117479,3.23509922136614
sin,0.3,0,36.0,5,2.1960816520115127,49,19.265901300523023,3.2974298203699997
sin,0.3,0,37.0,5,2.238738963187197,49,18.752074259631097,3.361082046206813
sin,0.3,0,38.0,5,2.245010884814437,49,18.41028011894832,3.4057457604809773
sin,0.3,0,39.0,5,2.320079881565661,49,18.00055589178138,3.455961441719302
sin,0.3,0,40.0,5,2.379957128844075,49,17.535687784532552,3.518750923178003
sin,0.3,0,41.0,5,2.383163845924834,49,17.1877188703503,3.5704108884262866
sin,0.3,0,42.0,5,2.427028264032224,49,16.88715102207071,3.6124988610326247
sin,0.3,0,43.0,5,2.493783396481584,49,16.520672130678065,3.665873543856567
sin,0.3,0,44.0,5,2.5070452232107243,49,16.18840476438739,3.7197123488354977
sin,0.3,0,45.0,5,2.524227388095725,49,15.934085156167885,3.760451485217624
sin,0.3,0,46.0,5,2.5876069407146858,49,15.658543968832708,3.8035554188476657
sin,0.3,0,47.0,5,2.612229422810962,49,15.369603958032375,3.8536140186095444
sin,0.3,0,48.0,5,2.615631317342872,49,15.135463690951877,3.895354674888053
sin,0.3,0,49.0,5,2.670984352427237,49,14.910704521927943,3.933466343271338
sin,0.3,0,50.0,5,2.71025263990868,49,14.657658433153502,3.9799006435993842
sin,0.3,0,51.0,6,2.709215348013862,49,14.445558975932705,4.021051334088713
sin,0.3,0,52.0,6,2.711908662643314,49,14.36090343883028,4.034807829072894
