drive,g,seed,r2
sin,0.3,0,0.8073277999471246
sin,0.3,1,0.7073776917636985
sin,0.3,2,0.7363813070509009
sin,0.7,0,0.729783995501885
sin,0.7,1,0.7749126883015345
sin,0.7,2,0.8374638207286507
sin,1.0,0,0.6856179446006663
sin,1.0,1,0.8111863292198391
sin,1.0,2,0.8727702038511126
sin,1.5,0,0.40591159775986985
sin,1.5,1,0.6711999709141666
sin,1.5,2,0.7934822212258464
sin,2.0,0,0.28565015965980545
sin,2.0,1,0.29063371524251935
sin,2.0,2,0.39291604309272465
quasi,0.3,0,0.6029676249913729
quasi,0.3,1,0.585859455172865
quasi,0.3,2,0.7425879761920182
quasi,0.7,0,0.5864304991330525
quasi,0.7,1,0.6293370742357258
quasi,0.7,2,0.8931236660048236
quasi,1.0,0,0.5260245465075415
quasi,1.0,1,0.5698751394535331
quasi,1.0,2,0.9243619428321355
quasi,1.5,0,0.34425263139539175
quasi,1.5,1,0.5314869954758433
quasi,1.5,2,0.9027939866197787
quasi,2.0,0,0.22271452386395507
quasi,2.0,1,0.22527591273156433
quasi,2.0,2,0.3058872399190563
white,0.3,0,0.5924731933587172
white,0.3,1,0.7047581879317453
white,0.3,2,0.6116448202044096
white,0.7,0,0.6076358414591576
white,0.7,1,0.7049024968262014
white,0.7,2,0.6110872432216141
white,1.0,0,0.6228219579965075
white,1.0,1,0.7099399875519321
white,1.0,2,0.6194778793529472
white,1.5,0,0.20816189315241218
white,1.5,1,0.12083569955203122
white,1.5,2,0.7324814907809118
white,2.0,0,0.11163497533935729
white,2.0,1,0.1187411271941341
white,2.0,2,0.12060422395391235
zero,0.3,0,0.20163615326564288
zero,0.3,1,0.1995769436503425
zero,0.3,2,0.2040456430202554
zero,0.7,0,0.24418206244122065
zero,0.7,1,0.2389131173350746
zero,0.7,2,0.31731917459484216
zero,1.0,0,0.2727478813149494
zero,1.0,1,0.4675621107308684
zero,1.0,2,0.3983691071786144
zero,1.5,0,0.2338416628722898
zero,1.5,1,0.17147195918368185
zero,1.5,2,0.5949022660716139
zero,2.0,0,0.12204800940740501
zero,2.0,1,0.1770446819296141
zero,2.0,2,0.20952060959351682
